Time (s),InputForce (N), Displacement (mm) 
1.66 , -92.7051 , -0.428104294076301
1.665 , -136.197 , -0.45321571620336
1.67 , -176.3355 , -0.467167463260765
1.675 , -212.1321 , -0.469615996932771
1.68 , -242.7051 , -0.460501026194154
1.685 , -267.3021 , -0.440046991875353
1.69 , -285.3171 , -0.408757540184345
1.695 , -296.3064 , -0.367403121265498
1.7 , -300 , -0.317002018160046
1.705 , -296.3064 , -0.258795273298108
1.71 , -285.3171 , -0.194216129915307
1.715 , -267.3021 , -0.124854740847607
1.72 , -242.7051 , -0.0524190136911104
1.725 , -212.1321 , 0.0213074435511933
1.73 , -176.3355 , 0.0945092408179157
1.735 , -136.197 , 0.165383906917514
1.74 , -92.7051 , 0.232186272351081
1.745 , -46.9302 , 0.293271441177311
1.75 , 0 , 0.34713529380964
1.755 , 46.9302 , 0.39245152343239
1.76 , 92.7051 , 0.428104294076301
1.765 , 136.197 , 0.453215716203359
1.77 , 176.3355 , 0.467167463260765
1.775 , 212.1321 , 0.469615996932771
1.78 , 242.7051 , 0.460501026194153
1.785 , 267.3021 , 0.440046991875353
1.79 , 285.3171 , 0.408757540184345
1.795 , 296.3064 , 0.367403121265499
1.8 , 300 , 0.317002018160045
1.805 , 296.3064 , 0.25879527329811
1.81 , 285.3171 , 0.194216129915305
1.815 , 267.3021 , 0.124854740847608
1.82 , 242.7051 , 0.0524190136911088
1.825 , 212.1321 , -0.0213074435511916
1.83 , 176.3355 , -0.0945092408179173
1.835 , 136.197 , -0.165383906917512
1.84 , 92.7051 , -0.232186272351082
1.845 , 46.9302 , -0.29327144117731
1.85 , 0 , -0.347135293809642
1.855 , -46.9302 , -0.392451523432391
1.86 , -92.7051 , -0.428104294076302
1.865 , -136.197 , -0.453215716203359
1.87 , -176.3355 , -0.467167463260766
1.875 , -212.1321 , -0.469615996932771
1.88 , -242.7051 , -0.460501026194154
1.885 , -267.3021 , -0.440046991875353
1.89 , -285.3171 , -0.408757540184346
1.895 , -296.3064 , -0.367403121265498
1.9 , -300 , -0.317002018160046
1.905 , -296.3064 , -0.258795273298111
1.91 , -285.3171 , -0.194216129915307
1.915 , -267.3021 , -0.124854740847607
1.92 , -242.7051 , -0.0524190136911105
1.925 , -212.1321 , 0.0213074435511932
1.93 , -176.3355 , 0.0945092408179124
1.935 , -136.197 , 0.165383906917513
1.94 , -92.7051 , 0.232186272351081
1.945 , -46.9302 , 0.293271441177311
1.95 , 0 , 0.34713529380964
1.955 , 46.9302 , 0.39245152343239
1.96 , 92.7051 , 0.428104294076301
1.965 , 136.197 , 0.45321571620336
1.97 , 176.3355 , 0.467167463260765
1.975 , 212.1321 , 0.469615996932771
1.98 , 242.7051 , 0.460501026194154
